baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
APBB1	28.8701853643197	1.1781061059798	0.425230754980544	2.77051011052505	0.00559685625869602	0.0237845350181578
APCDD1	483.216641473647	-2.23548306053447	0.680663838631393	-3.28426887643883	0.00102247323960869	0.00637017058010178
APIP	421.88011151117	-1.40743227527397	0.434181374236764	-3.2415768127964	0.00118870394790204	0.00719331339779691
APLN	13.5940611504352	-2.19117829186238	0.649348178984881	-3.3744274070158	0.000739694223935625	0.00500329314706097
APOBEC1	49.7105470991966	-2.21159614837909	0.539063496786432	-4.10266352955315	4.08420991872598e-05	0.000512066425480019
APOBEC3B	81.7179715434801	1.53984397357427	0.289248842885312	5.32359596745152	1.01735740528598e-07	4.0379944204188e-06
APOE	318.239426600612	1.34530233010487	0.544484806825174	2.47078029219799	0.0134818619990129	0.0464404461350687
APOL1	436.038176050508	-1.81094085068637	0.430231244299039	-4.20922672326337	2.56246161086395e-05	0.000346152796955139
APOLD1	839.558610598611	-2.45964494868293	0.822356544433459	-2.99097145311519	0.00278091488950216	0.0140437195813672
APPL2	837.904608316502	1.04137892321124	0.24893448510105	4.18334536007941	2.87250507006124e-05	0.000382189233897979
AQP1	201.466082875546	1.47380551949358	0.399544127268208	3.68871776334293	0.000225387071532387	0.00199044957547039
AQP11	18.33257134533	1.37447580819381	0.447216428561192	3.07340187080302	0.00211633277217	0.0114006031531689
AQP7	10.2118874640196	1.61845254112779	0.506113485865869	3.19780560353754	0.00138477595986002	0.0081528684636759
AQP8	375.530156074085	4.86200357948075	1.06927918219474	4.54699171221241	5.44181402554572e-06	0.000101575736038258
AQP9	21.2134995081763	-3.19676134058083	0.724993958900255	-4.4093627282495	1.03675249971237e-05	0.000167420717953552
ARAP3	114.414679943295	-1.25810546051546	0.384116625524676	-3.27532154797251	0.00105541770072248	0.00652935731664127
ARG2	36.849336870776	-1.25873255180907	0.424790050232886	-2.96318746429909	0.00304471078329277	0.0149849402187136
ARHGAP11A	439.235079550197	-1.21958941857551	0.338849311658397	-3.59920878282617	0.000319186855192127	0.00259284733707977
ARHGAP11B	38.71122366273	-2.05907446994396	0.465255381248225	-4.42568652171138	9.61360473048391e-06	0.000158392539913625
ARHGAP20	41.398311444497	1.60149921526774	0.403527537142026	3.96874827083751	7.22511562226572e-05	0.00079945876070959
ARHGAP23	80.8785177551012	-1.07068825752661	0.42817697178017	-2.5005741272707	0.012399218139393	0.043647471925666
ARHGAP33	10.6277668106369	-1.46436618193101	0.578158240260511	-2.53281209184389	0.0113151592017147	0.0405806147971861
ARHGAP42	429.080476964197	1.17283985103673	0.242725641133871	4.83195695995657	1.35197486923852e-06	3.31081540768463e-05
ARHGAP44	225.560310384148	1.64977312001153	0.427254553111572	3.86133537488766	0.000112768984061788	0.0011438806495284
ARHGAP8	52.2329686161835	-1.13769604777657	0.412592466673114	-2.75743291425129	0.00582571659812709	0.0245065125131098
ARHGEF19	30.1152888593819	-1.30653469143928	0.460852762073848	-2.83503712890826	0.00458203600791323	0.0204240280100359
ARHGEF28	370.040675632608	-1.31236920528748	0.232677181040029	-5.64030043436748	1.69753711959554e-08	9.01736823303947e-07
ARHGEF39	62.6316286503539	-1.29399432063839	0.369321554514184	-3.50370647156119	0.000458830805688615	0.00344488803633376
ARHGEF4	13.6609109308218	-1.82359225399932	0.628804170174556	-2.90009567444995	0.00373048774823767	0.0174542357227147
ARID3A	131.636640816087	-1.77180351945226	0.414919734137239	-4.27023198387141	1.95269751018923e-05	0.000276746397381884
ARID5A	96.0212304326891	-1.06255570664596	0.347781215201751	-3.05524180203224	0.00224879138128104	0.0118697879034371
ARL14	354.227081568999	2.23126310021393	0.29673489854051	7.51938215285223	5.5035700191628e-14	1.55530888741541e-11
ARMCX1	50.5560657851	1.40385325447391	0.318784293706858	4.4037717108009	1.06384893157897e-05	0.000171404622613579
ARNTL2	312.664564231761	-1.82361676398124	0.262588711403272	-6.94476451114691	3.79092150144131e-12	6.53240497748363e-10
ARRDC4	661.277844601148	1.20993383263912	0.28762917875422	4.20657541727718	2.59269586850612e-05	0.000349568631889232
ART3	14.6090983944321	-2.34509928906162	0.769570300590385	-3.0472840327421	0.0023091939648597	0.0120758366852211
ARVCF	56.5275738117246	-1.3501789801558	0.365769046833077	-3.69134291664646	0.00022307314728944	0.00197743009485557
ASAH2	14.7084391625831	-1.41859288116151	0.409321321572088	-3.46571948833033	0.000528814694499681	0.00384964020261746
ASAP3	146.150656680775	1.31001400930165	0.336608918190792	3.89179828134895	9.9503959789503e-05	0.00103381687634241
ASB9	35.6152180724477	-1.9720168345526	0.545676259820673	-3.61389523377959	0.000301630982782283	0.00248852015950666
ASCL2	228.329050518963	-3.07585851380039	0.460821228929235	-6.6747326744201	2.47683228108831e-11	3.27080748895119e-09
ASIC1	23.6088319001817	-2.38123680473926	0.559576989764132	-4.25542302184902	2.08654143700058e-05	0.000293946465651228
ASPA	12.1952691540666	2.58785306034156	0.641247489102137	4.03565410285665	5.44503863071775e-05	0.000640619449225994
ASPM	1259.23987371717	-1.55804010822587	0.358692607408121	-4.3436638393083	1.40125883937161e-05	0.000212672259939
ATAD3C	12.2050425624535	-2.04297992643265	0.668823059860744	-3.05458954548909	0.00225368725065058	0.0118867491047752
ATF7IP2	100.546714710317	-1.40303422986173	0.503774707519764	-2.78504301410703	0.00535206226770062	0.0230141935004899
ATG9B	11.3534284046838	-3.9532792769245	0.940626249652724	-4.20281623905779	2.63614586645303e-05	0.000354412379571659
ATHL1	196.954538089452	-2.29386663748862	0.496674826863649	-4.61844755042991	3.86621673869817e-06	7.66194144709749e-05
ATOH1	37.5329907144153	1.57472923741497	0.620645307007975	2.53724505709464	0.011172871347267	0.0401965299699775
ATP11A	925.182021241354	-2.26613703049958	0.349866560594441	-6.4771466774341	9.34733193169641e-11	1.08260491963008e-08
ATP12A	15.159353662497	-2.08595477824029	0.850827727918123	-2.45167700792307	0.0142192231984032	0.0483556254617179
ATP13A4	69.7815208832358	2.00148654154835	0.602185651983305	3.32370347077588	0.000888305948178655	0.00572355816131527
ATP1A2	27.7499771327073	2.42517839637373	0.456147700826629	5.31665158451709	1.05694175323796e-07	4.16005208168591e-06
ATP1B3	1230.52747266519	1.02105304196529	0.207956073175231	4.90994577063837	9.11015827829176e-07	2.37941841908064e-05
ATP2A3	708.449607327825	1.14677680282719	0.361551138121863	3.17182462426839	0.00151484457309257	0.00878323915379483
ATP2B1	1616.35790605447	1.31370330317821	0.200580589180632	6.54950366107044	5.7728625913964e-11	6.97184174499411e-09
ATP5A1	2998.75264241505	1.04461246417263	0.279952478560316	3.73139209034566	0.000190424576215246	0.00174607349897562
ATP6V0D2	33.3007638899247	2.59496102800456	0.525659194314654	4.9365844944229	7.95026017061058e-07	2.1140140977956e-05
ATP6V1E2	17.1986425629515	-1.13765584597389	0.445653131351268	-2.55278324315684	0.0106865978960696	0.0389882851204399
ATP7B	276.078069032059	-1.37122689038914	0.390780866192733	-3.50894071080965	0.000449895183601793	0.00338860284877043
ATP8B1	5850.71377657916	1.17541545194014	0.333963403945455	3.51959357837938	0.000432208537035519	0.00327458800445677
